safetyreportid,field_count_raw,field_count_converted
23303328,78,78
23309751,68,68
23303342,69,69
23312142,48,48
22719636,70,70
23312924,62,62
22741358,76,76
23314368,67,67
22747486,71,71
23324521,63,63
22751645,57,57
23425580,76,76
22757410,69,69
23329515,73,73
22758273,66,66
23340598,66,66
22778442,74,74
23342327,83,83
22781897,74,74
23342813,76,76
22791388,80,80
23428820,59,59
22805524,77,77
23432007,71,71
21964684,71,71
18697573,70,70
21973541,75,75
19095082,65,65
21973932,71,71
23433208,67,67
22045807,71,71
23433303,71,71
22053893,70,70
23434085,51,51
22071956,78,78
23358742,83,83
23307917,77,77
23358809,65,65
23309241,73,73
23358890,59,59
23311280,80,80
23359552,72,72
23313129,59,59
22904824,71,71
23314249,71,71
22908064,80,80
23317732,73,73
22910494,72,72
23320419,71,71
22921119,73,73
23320486,69,69
22926127,74,74
23321243,72,72
22938182,82,82
16847518,70,70
22949737,76,76
16896213,67,67
22953033,76,76
17549316,66,66
22955921,75,75
22825207,75,75
22961362,77,77
22828891,62,62
22973646,68,68
22840192,78,78
22979383,67,67
22849317,60,60
22982031,69,69
22870715,83,83
23360862,67,67
22900375,73,73
23362806,46,46
23324279,82,82
23363588,70,70
23324589,77,77
19457677,71,71
23326709,68,68
19490982,84,84
23328910,72,72
19924670,57,57
23329382,63,63
23364521,65,65
23329759,64,64
23364750,66,66
23336605,77,77
23364817,67,67
23339817,74,74
23365331,72,72
23339831,63,63
23367261,69,69
23340521,69,69
23368596,56,56
22132491,77,77
23370434,76,76
22133544,69,69
23374199,78,78
22139753,76,76
23374847,65,65
22158383,70,70
20227032,74,74
22158989,71,71
20361989,70,70
22186395,71,71
20475875,77,77
22209832,71,71
20532321,74,74
23344219,78,78
20639671,81,81
23347283,74,74
20685894,71,71
23350861,54,54
20702731,81,81
23354816,70,70
20732215,71,71
23355020,77,77
23443643,75,75
22944344,68,68
23444048,68,68
22979322,81,81
23444224,75,75
22980160,78,78
23445573,76,76
23355235,79,79
23446330,74,74
23356450,82,82
23375914,81,81
23356531,65,65
23378344,77,77
23356799,75,75
20757984,74,74
23357718,67,67
20770486,62,62
23357813,74,74
20809447,76,76
23016057,77,77
20921255,70,70
23023819,75,75
20950253,71,71
23027235,63,63
21025435,73,73
23041181,64,64
21092246,83,83
23051225,81,81
21136687,74,74
23052398,70,70
21140374,73,73
23057878,80,80
23380721,64,64
23061808,73,73
23381799,72,72
23067073,75,75
23382112,75,75
23080829,63,63
23382961,69,69
23081343,82,82
23384433,65,65
23359729,65,65
23385405,65,65
23360176,82,82
23385768,69,69
23360796,71,71
23386701,63,63
23361405,77,77
23387254,75,75
22239598,83,83
23404588,46,46
22249751,73,73
23405183,71,71
22259404,70,70
23406331,67,67
22298876,68,68
23414107,73,73
22298904,64,64
23662890,63,63
22306870,70,70
23663242,67,67
22350286,87,87
23666010,81,81
18518157,76,76
21558875,71,71
18581094,73,73
21567651,67,67
18603383,75,75
21572525,70,70
18721696,74,74
21578086,75,75
18778544,76,76
21653134,70,70
18918540,71,71
21672775,82,82
23087929,84,84
21674490,61,61
23089239,69,69
21694483,71,71
23093289,78,78
21694511,72,72
23110302,84,84
22616834,74,74
23126851,76,76
22626783,73,73
23130739,68,68
22637299,78,78
23131158,77,77
22644011,73,73
23133130,59,59
22649100,73,73
23133426,54,54
22649988,70,70
23138096,73,73
22652960,69,69
23141889,65,65
22653460,70,70
23363793,76,76
22670470,72,72
23365131,75,75
22673400,76,76
23365670,80,80
22695929,64,64
23366695,70,70
23405687,74,74
23367209,68,68
23406525,68,68
22537005,72,72
23408994,74,74
22537058,72,72
21744812,68,68
22602992,72,72
21797434,70,70
22612078,70,70
21803780,66,66
23144266,76,76
21817765,73,73
23151084,79,79
21825326,78,78
23152285,68,68
21826002,73,73
23152676,77,77
21828633,78,78
23155525,83,83
21828781,78,78
23163368,64,64
21842565,68,68
19326861,67,67
21870267,71,71
19474658,74,74
21903653,78,78
19520074,71,71
22803553,61,61
19834030,72,72
22828015,69,69
19849216,83,83
22876425,62,62
23186749,81,81
22876964,47,47
23192003,63,63
23411251,68,68
23204382,53,53
23437201,78,78
23207985,71,71
21944678,63,63
23210376,63,63
21948108,73,73
22641090,73,73
21949943,68,68
22646017,72,72
21994440,74,74
22662932,51,51
21997261,69,69
22687771,72,72
21997719,76,76
22699569,74,74
22001691,59,59
22701798,64,64
22013975,71,71
22702421,70,70
22015380,66,66
23372340,73,73
22024371,74,74
23372812,67,67
22034239,77,77
22716635,71,71
22044931,67,67
22727017,73,73
23414139,61,61
22731405,72,72
23414720,72,72
23374957,47,47
22897013,70,70
23375323,70,70
22904155,65,65
23375929,81,81
22923257,70,70
23377792,70,70
23441857,47,47
23377820,66,66
22113848,71,71
23378278,79,79
22135718,66,66
23378320,68,68
22155563,81,81
23230369,84,84
22164811,69,69
23230802,79,79
22169319,89,89
23234824,82,82
22177877,78,78
23235458,63,63
23422105,78,78
23242290,65,65
23423144,66,66
23243114,74,74
