query,db,mean_time,std_time,run_times
Q1,SQLite,0.010591640000000523,0.0025043417167787507,"[0.009314400000000944, 0.009734500000000423, 0.010219800000001555, 0.015430399999999622, 0.008259100000000075]"
Q1,MongoDB,0.041428159999999534,0.02038044467675929,"[0.016853899999997424, 0.016124999999998835, 0.05703170000000313, 0.057603699999997815, 0.05952650000000048]"
Q2,SQLite,0.02439374000000072,0.010327469912151187,"[0.04017849999999967, 0.02723310000000012, 0.015001399999999165, 0.011256300000002994, 0.02829940000000164]"
Q2,MongoDB,1.9444049400000012,0.024643874397634727,"[1.9862747000000027, 1.9307125999999997, 1.9299750000000024, 1.9574475999999983, 1.9176148000000026]"
Q3,SQLite,0.11717973999999884,0.041705796918635143,"[0.12734909999999644, 0.07762710000000084, 0.193729900000001, 0.08826919999999916, 0.09892339999999678]"
Q3,MongoDB,0.16425009999999957,0.018801052053543092,"[0.12750369999999833, 0.1726428999999996, 0.17319129999999916, 0.16769949999999767, 0.18021310000000312]"
Q4,SQLite,0.025733940000000642,0.003739568547628309,"[0.02915869999999643, 0.026593500000004155, 0.021103799999998785, 0.021666799999998432, 0.030146900000005417]"
Q4,MongoDB,0.20062970000000035,0.01590866011680541,"[0.17144559999999842, 0.21638719999999978, 0.20694140000000516, 0.2112677000000005, 0.1971065999999979]"
Q5,SQLite,0.14849809999999905,0.029970938077744702,"[0.14341830000000044, 0.1553012000000038, 0.20075639999999595, 0.11075409999999408, 0.132260500000001]"
Q5,MongoDB,0.6476996799999994,0.030228033950516063,"[0.6002711000000005, 0.6291584000000014, 0.6674730999999952, 0.6868817000000007, 0.6547140999999996]"
Q6,SQLite,0.007969599999999844,0.0004261630110672131,"[0.00877240000000512, 0.007521799999999246, 0.007748599999999328, 0.007953799999995681, 0.007851399999999842]"
Q6,MongoDB,0.11844166000000059,0.016506902770487865,"[0.09667790000000309, 0.11458569999999924, 0.14767599999999703, 0.11915230000000321, 0.11411640000000034]"
Q7,SQLite,0.16558324000000085,0.023649132616534257,"[0.15540570000000287, 0.20419040000000166, 0.18104040000000055, 0.14406629999999865, 0.1432134000000005]"
Q7,MongoDB,2.567047419999999,0.12034344772005437,"[2.3380024000000006, 2.575652599999998, 2.6859319, 2.6349538999999993, 2.6006962999999956]"
Q8,SQLite,0.14667323999999837,0.014870706207925894,"[0.14905379999999724, 0.14198619999999806, 0.16738970000000108, 0.1219856999999962, 0.15295079999999928]"
Q8,MongoDB,0.8726079399999989,0.027488497577756853,"[0.8379244999999997, 0.9216976999999957, 0.875323200000004, 0.8664340999999993, 0.8616601999999958]"
Q9,SQLite,0.32409204000000214,0.05732521827247137,"[0.32302490000000006, 0.43368260000000447, 0.2982826000000003, 0.2698365000000038, 0.29563360000000216]"
Q9,MongoDB,0.27709419999999907,0.017910798574152217,"[0.24743710000000618, 0.2906091999999987, 0.26525060000000167, 0.29331349999999645, 0.2888605999999925]"
Q10,SQLite,0.2224655399999989,0.03992794881431581,"[0.29580500000000143, 0.22679720000000714, 0.1960701999999941, 0.2135973999999976, 0.18005789999999422]"
Q10,MongoDB,0.14482074000000295,0.019451174082261175,"[0.10634050000000173, 0.15708630000000312, 0.15192739999999105, 0.1506663000000117, 0.1580832000000072]"
Q11,SQLite,0.15261081999999532,0.012146829858919435,"[0.16414619999999047, 0.16373249999999473, 0.15882089999999494, 0.14176539999999704, 0.13458909999999946]"
Q11,MongoDB,1.2583314600000022,0.021103099360200855,"[1.2303247999999911, 1.2376786000000095, 1.2865598000000062, 1.2662849000000023, 1.2708092000000022]"
Q12,SQLite,0.24016972000000295,0.017669812990798756,"[0.26608730000000946, 0.24704630000000805, 0.21401229999999316, 0.2286090999999999, 0.24509360000000413]"
Q12,MongoDB,4.364788139999999,0.08711122730212151,"[4.267200799999998, 4.461299299999993, 4.472178299999996, 4.342616300000003, 4.280646000000004]"
Q13,SQLite,0.49824224000000183,0.02644606412512555,"[0.4904466999999926, 0.4569428000000073, 0.5246209000000022, 0.5293070999999969, 0.4898937000000103]"
Q13,MongoDB,2.6080313400000024,0.11950872434114189,"[2.5935626999999926, 2.5335520000000002, 2.4332550000000026, 2.752799600000003, 2.726987400000013]"
